event_name,start_date,duration_days,demand_effects,supply_effects,news_content
Winter Storm,01-15,4,"{""food_beverage"": 2.0, ""home_living"": 1.5, ""fashion"": 0.3, ""sports_outdoor"": 0.2}","{""delivery_delay_multiplier"": 2.5, ""affected_categories"": ""all""}","[BREAKING NEWS] Winter Storm Warning - Jan 15 to Jan 18

A severe winter storm is expected to hit eastern China, bringing heavy snowfall and sub-zero temperatures. Provincial authorities have issued emergency advisories for affected regions. Residents are urged to prepare emergency supplies including food, warm clothing, and heating equipment.

Major logistics providers have warned of significant delivery delays across all regions due to road closures and hazardous driving conditions. Industry analysts expect a temporary surge in demand for daily necessities and home heating products, while discretionary spending on fashion and outdoor activities is likely to decline sharply."
Factory Fire in Guangdong,03-01,7,{},"{""delivery_delay_multiplier"": 4.0, ""affected_categories"": [""appliance_digital"", ""toys_entertainment""]}","[INDUSTRY ALERT] Major Factory Fire in Guangdong Province - Mar 1 to Mar 7

A large-scale fire broke out at an industrial complex in Dongguan, Guangdong Province, one of China's key manufacturing hubs for electronics and consumer goods. The blaze has affected multiple production lines and warehouses.

Supply chain analysts warn that shipments of electronic appliances, digital accessories, and toy products from the region may face extended delays of up to 4x normal lead times. Manufacturers are scrambling to reroute production to alternative facilities. Consumer demand patterns are not expected to change, but inventory availability may be severely impacted."
Flu Outbreak,04-10,7,"{""daily_office"": 2.5, ""beauty"": 1.5, ""sports_outdoor"": 0.4, ""toys_entertainment"": 0.5}","{""delivery_delay_multiplier"": 2.0, ""affected_categories"": [""daily_office""]}","[HEALTH ADVISORY] Seasonal Flu Outbreak - Apr 10 to Apr 16

Health authorities have reported an early-onset influenza outbreak across several provinces. Hospitals are seeing a sharp increase in patient admissions, and public health officials are recommending preventive measures including face masks, hand sanitizers, and reduced outdoor gatherings.

Retailers report a significant spike in demand for medical supplies, hygiene products, and personal protective equipment. Meanwhile, outdoor recreation and entertainment-related spending has dropped as consumers stay home. Some logistics workers are also affected, causing minor delivery delays for health and hygiene product shipments."
Logistics Hub Shutdown,05-20,5,{},"{""delivery_delay_multiplier"": 5.0, ""affected_categories"": ""all""}","[URGENT] Major Logistics Hub Shutdown - May 20 to May 24

The central logistics distribution center in Zhengzhou has been temporarily shut down for emergency infrastructure repairs after a critical equipment failure. This hub handles approximately 30% of all inter-provincial parcel routing in central China.

All major carriers — SF Express, ZTO, YTO, and STO — have issued service disruption notices. Delivery times across ALL product categories are expected to increase by 3-5x during the shutdown period. E-commerce platforms are advising merchants to communicate expected delays to customers proactively."
Summer Heatwave,07-05,7,"{""appliance_digital"": 3.0, ""food_beverage"": 2.0, ""sports_outdoor"": 0.3, ""home_living"": 0.5}","{""delivery_delay_multiplier"": 2.0, ""affected_categories"": [""appliance_digital""]}","[WEATHER ALERT] Extreme Heatwave Advisory - Jul 5 to Jul 11

Meteorological authorities have issued a red alert for extreme heat across the Yangtze River Delta and Pearl River Delta regions, with temperatures expected to exceed 40°C for seven consecutive days.

Consumer spending patterns are shifting dramatically: demand for cooling appliances (air conditioners, fans, portable coolers), cold beverages, and refrigeration products has surged. Outdoor activity and home renovation projects have seen sharp declines. Appliance manufacturers report strain on production capacity, leading to potential supply shortages and delayed deliveries for cooling equipment."
Celebrity Product Recall,08-20,5,"{""beauty"": 0.4, ""fashion"": 0.6}",{},"[CONSUMER NEWS] Major Product Recall After Celebrity Endorsement Scandal - Aug 20 to Aug 24

A high-profile celebrity-endorsed beauty brand has been forced to recall multiple product lines after laboratory tests revealed undisclosed harmful ingredients. The scandal has triggered widespread consumer distrust across the beauty and fashion sectors.

Industry analysts report a significant drop in consumer confidence for cosmetics, skincare, and celebrity-associated fashion brands. Social media backlash has amplified the effect, with consumers postponing non-essential beauty and fashion purchases. No supply chain disruptions are expected — this is purely a demand-side impact driven by trust erosion."
Typhoon Warning,09-15,3,"{""food_beverage"": 2.5, ""daily_office"": 2.0, ""fashion"": 0.2, ""shoes_bags"": 0.2}","{""delivery_delay_multiplier"": 3.0, ""affected_categories"": ""all""}","[BREAKING NEWS] Typhoon ""Hailong"" Warning - Sep 15 to Sep 17

A severe typhoon warning has been issued for the eastern coastal regions of China, including Zhejiang and Fujian provinces. Meteorological authorities classify this as a Category 3 storm with sustained winds exceeding 150 km/h.

Residents are advised to stock up on essential supplies including food, drinking water, and emergency items. Local governments have issued shelter-in-place advisories. Major logistics carriers including SF Express and ZTO have announced service suspensions in coastal areas. Retail analysts note that outdoor recreation and non-essential shopping typically see sharp declines during severe weather events, while demand for daily necessities and emergency supplies tends to surge significantly."
Economic Downturn News,10-05,7,"{""appliance_digital"": 0.5, ""fashion"": 0.6, ""shoes_bags"": 0.5, ""food_beverage"": 1.3, ""daily_office"": 1.2}",{},"[ECONOMIC NEWS] Consumer Confidence Index Drops Sharply - Oct 5 to Oct 11

The National Bureau of Statistics has released Q3 economic data showing a significant decline in consumer confidence. The Consumer Confidence Index fell to its lowest point in 18 months, driven by concerns over employment stability and property market softening.

Retail industry analysts are forecasting a shift in spending patterns: consumers are expected to cut back on discretionary purchases such as electronics, fashion, and luxury goods, while maintaining or slightly increasing spending on essentials like food, groceries, and household supplies. This sentiment shift may affect the upcoming Grand Autumn Carnival shopping festival preparations."
Raw Material Shortage,11-20,7,{},"{""delivery_delay_multiplier"": 3.0, ""affected_categories"": [""appliance_digital"", ""home_living"", ""auto_hardware""], ""cost_increase"": 0.15}","[SUPPLY CHAIN ALERT] Global Raw Material Shortage - Nov 20 to Nov 26

International commodity markets are experiencing a significant supply crunch for key raw materials including copper, aluminum, and semiconductor components. The shortage is attributed to a combination of geopolitical tensions and production disruptions at major mining operations.

Manufacturers of electronic appliances, home furnishing products, and automotive components are reporting production slowdowns and increased input costs. Wholesale prices for affected categories may temporarily rise by 10-15%. Delivery times are expected to extend significantly for products in these sectors."
Cold Wave,12-20,5,"{""fashion"": 2.0, ""home_living"": 2.5, ""food_beverage"": 0.4, ""sports_outdoor"": 0.3}","{""delivery_delay_multiplier"": 2.0, ""affected_categories"": ""all""}","[WEATHER ALERT] Extreme Cold Wave Approaching - Dec 20 to Dec 24

The China Meteorological Administration has issued a cold wave blue alert for northern and central China. Temperatures are expected to plummet by 15-20°C within 48 hours, with some regions dropping below -25°C.

Retailers are reporting a surge in demand for winter clothing, thermal underwear, heating appliances, and home insulation products. Fresh food logistics are experiencing disruptions due to freezing conditions affecting cold chain operations. Overall delivery times are expected to double during the cold snap. Outdoor-related products and perishable food items are seeing reduced consumer interest."
